cgpa,skills_score,projects,internship,certifications,job_fit_score
6.78,2,7,1,3,113.89
6.4,10,1,0,3,113.0
7.71,6,7,0,8,145.33
5.7,2,2,0,3,68.52
9.01,3,6,0,6,131.42
5.37,1,8,0,5,93.18
9.93,5,3,0,1,119.74
8.86,9,10,0,4,168.7
5.99,2,5,0,2,84.37
5.03,7,8,0,8,131.01
9.08,5,10,1,0,145.14
8.53,2,10,1,3,135.5
8.65,8,4,0,3,136.15
8.86,6,0,0,8,123.66
5.37,4,2,0,0,70.76
6.79,4,10,1,1,124.35
5.58,2,8,1,0,98.35
9.32,3,2,1,0,104.89
8.12,7,10,0,0,141.76
6.65,3,10,0,2,112.11
5.32,5,9,1,3,124.57
6.55,10,1,0,1,109.46
6.63,6,3,0,0,93.89
8.65,6,4,1,4,140.39
8.19,4,6,0,5,124.36
9.44,6,6,1,1,141.76
7.36,3,8,1,2,123.71
5.6,7,7,0,2,110.82
8.57,7,1,1,1,115.48
8.8,4,7,0,3,129.75
7.81,2,7,1,4,120.78
8.85,7,4,0,7,144.57
7.47,3,2,0,5,97.84
7.61,1,8,0,8,119.58
7.14,2,6,0,2,98.32
5.13,10,0,1,8,124.2
5.54,9,7,1,3,134.16
5.16,8,9,0,7,136.15
8.18,6,4,0,6,125.99
6.57,6,5,0,6,121.38
7.54,1,8,1,8,129.47
9.54,2,9,1,1,135.23
6.25,4,7,0,4,109.61
7.05,3,10,1,2,125.53
8.78,1,2,0,6,98.18
6.14,8,4,1,2,126.22
5.38,7,3,0,4,101.98
6.45,4,0,0,4,87.24
5.81,9,4,0,1,112.78
9.65,4,9,1,0,142.55
9.04,1,6,0,5,116.69
8.17,10,0,1,0,125.64
9.36,1,3,1,8,129.55
9.02,1,5,0,4,110.81
5.93,1,10,0,0,90.85
9.46,4,8,0,7,149.41
7.7,1,10,1,0,118.18
9.04,2,7,1,3,126.95
9.48,4,1,1,6,128.83
6.59,7,10,1,3,149.41
5.55,2,2,1,4,82.69
6.14,8,9,1,6,151.68
7.14,7,4,1,3,129.41
9.09,9,10,0,4,169.01
9.3,6,6,0,6,144.47
5.03,4,2,0,0,70.04
7.55,6,6,1,2,131.58
7.09,4,4,0,0,92.89
6.11,7,9,1,2,138.13
5.6,9,5,1,1,125.19
6.69,3,5,1,4,110.34
9.71,3,10,1,4,158.67
6.62,2,10,0,8,130.09
7.59,1,3,1,7,104.78
8.52,1,7,0,2,105.06
6.82,3,8,1,0,107.03
9.86,7,1,0,4,129.22
9.81,9,8,1,2,169.08
6.26,2,10,1,4,120.44
7.49,7,3,0,8,133.07
6.5,1,5,0,0,73.53
6.42,2,6,0,0,85.65
5.18,6,3,1,8,117.72
8.05,5,7,1,2,133.22
7.51,8,9,1,4,158.37
5.26,2,7,0,8,99.59
6.39,1,0,0,4,66.53
9.54,7,7,0,2,148.42
6.2,6,9,1,8,147.19
5.72,8,2,1,6,125.13
7.45,8,4,0,6,130.76
9.93,2,9,1,7,153.37
6.21,8,7,1,4,137.78
8.36,6,10,1,1,152.14
8.81,9,5,0,8,158.37
6.19,7,3,0,2,103.2
8.64,2,3,0,1,94.28
6.84,8,3,1,4,128.6
8.16,9,5,0,7,153.84
8.17,7,6,0,2,131.88
7.68,4,4,1,5,120.15
5.45,9,9,1,8,158.06
9.18,4,7,1,1,137.9
6.6,4,6,1,7,128.47
5.93,9,7,0,6,135.45
5.2,8,3,1,2,106.76
7.95,4,7,1,0,123.42
8.39,8,5,1,5,153.51
5.08,8,2,1,1,99.82
7.56,7,7,1,2,140.98
6.13,10,6,1,4,148.26
8.23,6,9,0,7,155.72
5.87,8,4,0,1,109.18
8.45,7,10,0,5,158.75
6.93,5,3,0,0,92.11
9.68,4,0,1,6,124.66
5.69,2,9,1,3,110.47
6.71,8,2,1,0,109.89
5.57,9,1,0,8,116.82
9.62,4,7,1,8,161.54
9.39,4,7,1,2,135.88
6.29,5,4,1,5,113.24
8.3,2,4,1,6,122.06
9.09,7,10,0,3,155.99
7.78,5,3,1,5,120.36
7.65,6,0,1,8,125.06
6.21,4,0,1,5,94.27
5.47,8,5,0,6,120.86
9.49,8,3,1,5,154.26
9.5,5,3,1,6,138.35
8.17,6,2,1,0,113.35
6.7,3,8,1,5,125.14
6.75,1,2,1,8,101.04
8.63,9,7,1,2,154.57
9.49,9,1,1,5,148.84
9.44,3,3,0,3,111.52
8.9,4,0,0,6,110.28
8.21,7,10,1,6,172.37
5.42,2,4,1,8,104.98
5.81,3,1,0,3,75.39
9.49,6,10,0,7,169.49
8.03,8,0,0,7,124.65
5.05,1,0,0,7,69.48
5.51,4,1,1,7,101.3
8.32,1,4,1,5,111.65
5.03,2,8,1,7,117.05
5.8,8,5,1,5,132.33
7.74,6,3,1,1,121.34
8.46,9,2,0,2,127.28
8.26,2,7,0,5,117.95
6.12,3,2,0,6,88.44
8.56,9,0,0,3,121.78
6.19,9,3,0,0,105.35
6.63,6,10,1,3,144.56
8.73,3,4,0,5,115.8
8.25,5,4,0,7,124.76
9.25,2,4,1,3,119.39
8.29,7,7,1,0,139.56
7.84,10,7,1,4,161.8
5.47,8,3,1,6,124.28
6.84,6,8,1,5,141.62
6.33,8,0,0,2,97.88
6.22,2,4,1,6,104.91
9.87,3,4,1,3,129.65
6.97,7,4,0,4,116.13
9.46,10,7,0,6,175.92
8.16,1,8,1,1,112.13
8.97,7,2,1,3,133.54
7.51,6,8,0,3,128.92
7.88,8,10,1,5,168.87
7.46,7,7,1,6,150.98
5.98,4,2,1,3,94.47
8.61,3,1,1,0,100.93
6.4,3,3,1,0,90.45
5.12,4,1,0,4,76.32
8.23,9,3,0,0,124.43
5.89,9,4,1,2,127.21
9.7,2,1,1,8,127.82
9.77,5,7,0,2,136.88
9.57,1,0,0,2,84.41
6.85,4,2,0,8,107.46
5.08,2,6,1,4,97.96
9.64,8,9,0,7,172.59
7.14,4,0,1,8,111.17
9.83,5,10,1,5,168.5
9.82,4,1,1,6,133.32
9.27,5,2,1,6,138.83
6.47,5,1,1,6,111.13
6.93,5,1,0,3,93.23
9.26,3,10,0,1,134.34
6.58,7,5,0,1,111.97
5.85,3,6,0,6,103.63
7.78,2,5,1,6,124.46
9.68,3,10,0,6,148.97
8.48,3,5,0,7,125.05
7.85,8,8,0,2,142.48
5.49,4,7,0,4,103.31
8.08,3,7,0,5,123.72
9.95,10,5,0,7,172.49
5.7,5,4,1,7,118.09
7.59,4,8,1,2,129.68
9.39,9,1,0,3,133.31
8.7,8,6,1,5,160.23
8.49,7,5,1,3,141.42
8.51,8,6,1,3,150.48
6.8,5,3,1,4,113.42
6.47,4,8,1,6,134.11
9.05,7,6,0,1,130.88
9.05,1,1,1,1,92.59
9.34,6,3,1,8,155.23
9.57,8,4,0,3,142.08
7.56,7,1,1,4,120.64
7.51,2,9,1,2,123.65
8.99,7,7,0,1,136.36
8.25,6,0,1,7,122.79
8.51,5,2,0,3,110.79
8.98,4,0,1,0,100.37
9.45,1,4,1,5,121.8
6.69,2,7,0,5,107.18
6.88,7,6,1,1,127.31
5.47,10,8,0,1,125.34
7.89,3,1,1,7,113.18
5.18,5,7,1,6,123.33
7.33,8,7,1,1,136.82
7.71,8,5,1,0,128.67
6.43,6,2,0,7,108.32
7.95,5,1,1,1,107.13
5.15,2,7,1,4,97.22
5.19,9,5,0,5,123.15
9.11,1,3,0,0,90.69
6.8,2,4,0,1,82.89
5.64,1,4,1,3,82.12
7.61,4,8,0,1,114.3
8.85,4,8,0,5,139.36
6.08,5,7,0,3,113.15
8.11,5,7,0,2,121.85
5.43,8,1,1,5,114.7
5.26,3,2,1,8,100.44
7.66,6,7,1,7,150.24
7.7,3,4,0,1,94.15
8.19,2,6,0,2,104.33
8.63,8,7,0,1,143.69
9.88,1,5,1,6,132.39
7.58,9,4,0,8,148.31
6.61,7,7,0,0,116.4
8.98,10,0,1,2,136.9
6.35,4,0,1,5,97.0
7.19,3,0,1,3,95.87
5.39,6,2,1,0,89.85
5.13,9,9,1,8,157.84
9.81,9,5,0,6,161.89
9.18,4,5,0,6,128.54
8.48,10,4,0,0,130.9
7.04,5,6,1,8,138.45
5.87,9,4,1,7,139.63
5.78,2,1,1,4,84.01
6.25,2,3,1,3,87.87
7.75,5,0,0,0,88.27
8.57,1,6,0,8,121.35
8.3,8,3,0,7,139.41
6.4,5,3,0,1,92.37
9.77,10,3,0,3,152.69
8.69,2,2,0,3,97.12
7.77,9,7,0,6,150.46
8.06,2,3,0,2,92.09
7.1,7,7,1,7,152.49
6.24,8,8,0,6,141.68
6.78,6,0,0,3,94.57
8.79,7,3,1,8,150.29
5.07,1,5,1,5,87.84
5.58,4,7,0,2,99.82
5.23,7,5,0,6,112.41
5.2,1,5,1,5,93.02
9.28,1,9,1,7,147.61
8.52,6,3,1,4,131.21
7.37,4,8,0,5,125.74
5.49,3,6,1,0,93.31
7.46,5,10,0,7,144.44
7.37,9,5,1,0,131.18
5.87,10,0,0,2,102.85
7.17,10,1,1,1,124.48
6.99,10,5,0,5,143.66
8.08,3,10,1,7,149.07
8.18,5,0,1,7,123.54
5.23,10,10,0,6,147.52
6.87,5,4,0,6,111.3
8.13,9,0,0,7,130.43
7.52,10,2,1,4,138.24
9.28,4,6,1,2,131.54
8.29,1,4,1,1,104.24
5.81,10,9,1,2,147.61
5.35,5,0,1,2,88.45
8.21,1,0,0,6,86.71
5.13,6,7,0,0,95.64
7.93,10,10,1,6,184.01
9.7,10,8,1,5,183.16
7.88,7,6,0,1,125.3
6.94,1,2,1,0,75.82
8.22,10,5,0,8,159.66
7.29,4,2,0,1,86.59
7.73,9,9,0,3,151.68
9.71,1,3,0,8,117.71
6.93,9,3,0,8,136.9
9.81,8,2,1,0,137.7
9.53,5,9,0,1,140.7
5.98,6,5,1,1,111.73
5.35,7,4,0,1,96.56
5.5,4,10,1,7,134.16
5.09,6,8,0,7,124.67
5.47,7,8,1,7,141.55
8.42,6,2,1,3,124.17
5.36,6,8,0,7,126.64
6.59,2,2,0,6,86.69
9.22,5,3,0,7,134.65
5.12,3,0,1,0,65.43
9.07,7,4,0,2,129.83
6.41,4,8,0,5,118.19
5.59,1,1,1,0,65.03
8.48,6,3,0,3,119.55
8.14,6,9,0,8,155.06
9.39,7,1,1,6,145.0
8.68,8,7,0,0,131.0
9.02,3,8,1,5,146.62
6.41,6,2,0,5,106.12
5.89,10,8,1,1,138.43
8.75,2,5,1,5,126.88
9.03,9,5,0,1,142.39
9.95,2,6,1,7,145.74
7.06,3,4,0,6,102.39
6.86,10,5,1,5,151.25
8.88,2,10,1,5,148.07
6.7,9,0,0,8,121.49
9.65,1,2,0,8,115.11
9.29,5,8,0,1,133.63
7.14,1,4,1,2,95.93
8.75,5,4,0,6,128.41
8.77,8,7,1,8,171.02
5.52,8,10,1,5,149.05
9.51,8,10,0,0,153.42
7.53,2,1,1,6,101.93
9.13,8,6,0,0,137.78
6.6,5,8,1,4,133.54
9.48,1,6,0,8,129.32
6.95,7,4,1,8,137.7
5.05,6,5,1,0,103.14
9.53,5,3,0,5,131.09
5.46,1,6,1,2,88.88
6.6,1,0,1,8,90.27
9.75,6,3,1,2,134.94
9.75,10,2,1,1,148.62
7.87,7,3,1,7,141.49
8.16,10,0,0,2,120.66
7.24,10,1,0,4,122.22
6.47,1,10,1,5,123.77
6.64,9,8,0,0,130.66
8.36,4,6,0,6,126.8
8.76,5,5,1,6,143.68
8.96,2,1,0,4,97.99
8.95,10,0,1,8,154.15
5.46,8,1,0,1,93.04
7.47,2,6,1,4,116.05
5.29,3,1,1,1,73.87
7.75,9,2,1,1,127.81
7.21,2,7,1,8,130.55
9.44,6,6,0,6,147.36
6.75,4,10,0,3,122.88
5.59,7,10,1,7,152.81
5.71,6,10,0,3,121.88
8.81,10,8,1,0,159.96
8.09,9,3,1,2,139.28
5.51,9,6,0,0,117.88
5.42,10,0,1,1,108.12
8.5,4,10,1,1,144.77
5.36,1,10,0,6,105.04
9.11,2,1,1,3,104.6
8.53,8,6,1,8,167.16
5.41,10,1,0,1,102.16
5.42,8,5,0,8,124.77
9.93,2,9,1,5,150.04
6.87,4,8,0,7,127.92
6.85,1,10,0,6,116.47
9.06,7,4,0,7,143.39
9.74,4,9,0,8,159.58
9.93,8,6,0,7,165.38
8.77,9,0,0,5,131.73
6.88,9,7,1,7,159.72
5.42,3,8,1,7,119.59
8.89,5,4,0,1,115.93
7.79,6,5,0,1,113.43
7.12,6,10,0,0,126.35
9.53,10,7,1,1,165.18
5.56,8,3,1,6,123.23
7.46,6,1,1,2,109.89
5.06,6,9,1,3,124.54
7.34,4,7,0,3,113.98
5.28,7,1,0,3,92.53
5.59,8,4,0,1,103.51
5.59,3,5,0,5,93.65
8.25,7,4,0,0,114.8
8.73,3,5,1,4,123.1
7.92,8,5,0,1,125.89
9.81,1,2,1,8,122.73
6.87,1,10,0,1,104.42
6.43,6,10,0,5,136.49
9.34,10,2,1,3,154.86
6.12,9,8,1,5,151.39
9.82,4,2,0,1,108.08
5.06,6,2,1,1,87.73
9.85,5,10,1,6,173.41
5.22,1,1,1,2,64.13
9.46,6,6,0,2,134.83
7.64,9,9,0,6,163.46
9.96,3,9,0,7,152.94
5.37,3,3,1,6,98.73
7.77,2,0,1,2,90.04
9.85,4,5,0,2,126.59
7.62,10,4,0,6,148.09
8.15,3,10,1,2,134.97
8.48,2,1,0,1,84.08
7.27,1,5,0,6,99.34
8.14,3,0,1,2,96.04
7.92,10,2,1,4,143.11
9.51,6,3,0,6,132.54
5.23,9,2,1,1,106.51
6.4,5,5,1,7,130.12
9.75,3,10,0,1,136.5
9.45,5,3,1,3,133.04
7.28,5,0,1,3,101.99
8.1,5,4,0,7,123.03
6.39,7,4,1,0,111.84
5.94,5,8,1,8,140.61
7.32,7,7,0,5,134.18
6.77,9,7,1,3,147.63
7.92,5,4,0,5,115.94
5.39,2,7,0,5,96.15
9.87,5,9,1,8,175.06
9.93,8,6,0,3,151.82
8.49,4,0,0,7,113.87
7.68,2,6,1,0,104.46
6.55,10,10,0,5,156.22
9.07,3,7,0,4,127.96
8.42,9,2,1,2,134.88
5.81,9,8,0,3,129.62
9.55,8,7,0,7,163.24
9.11,8,1,1,1,131.42
9.75,8,5,1,7,168.38
8.63,8,3,0,6,142.43
8.07,8,2,0,0,111.65
7.09,1,10,0,1,106.15
9.66,6,5,1,6,156.33
9.33,9,9,0,2,160.73
5.23,8,8,1,1,125.05
5.13,3,1,0,0,56.59
6.88,1,9,0,6,115.16
9.05,2,9,1,2,136.82
9.94,2,9,0,5,137.31
5.75,7,4,1,7,127.28
7.97,6,5,1,5,137.43
6.9,2,3,0,6,96.34
9.85,8,6,0,5,157.14
9.21,9,1,1,6,153.33
9.19,7,6,1,4,153.76
7.34,4,1,1,8,114.27
7.07,1,0,0,2,66.66
6.37,4,10,0,5,125.22
5.28,4,4,0,8,103.31
9.32,8,1,0,0,117.84
9.06,4,7,1,4,143.4
10.0,4,7,1,3,145.41
9.98,2,0,1,8,123.28
7.78,10,3,0,0,122.65
8.84,7,8,0,3,145.07
9.72,4,4,0,0,116.34
9.25,6,10,1,2,158.56
6.24,3,9,1,3,119.2
7.25,7,5,1,0,125.11
5.65,6,2,1,4,106.67
9.77,3,4,0,5,127.44
8.03,4,0,0,0,85.21
6.14,10,7,0,3,134.94
8.36,5,10,1,3,154.98
8.09,9,5,1,0,140.89
6.79,6,1,1,1,101.02
5.57,4,3,1,4,98.66
8.36,7,3,0,1,117.22
7.6,2,8,0,2,108.34
8.86,4,8,1,8,154.14
7.6,5,4,0,4,117.06
9.26,4,2,1,0,112.04
7.76,4,0,1,4,104.44
7.8,9,5,1,2,147.59
9.38,2,7,1,0,121.7
7.02,6,0,1,2,103.45
5.67,8,10,0,5,138.78
5.14,8,0,0,4,93.79
8.78,7,10,0,0,145.61
8.1,10,6,0,1,143.39
8.52,4,6,0,4,126.58
6.06,7,1,0,8,110.36
5.68,10,2,1,4,128.29
5.07,6,1,1,4,99.56
6.75,6,5,0,0,103.52
7.95,2,7,1,4,123.58
6.96,8,7,1,7,153.7
7.19,8,0,1,8,130.89
9.52,7,10,0,2,154.76
6.74,9,8,0,3,141.49
7.57,8,10,0,6,154.46
8.92,9,7,1,6,170.95
6.98,9,8,0,0,132.77
8.11,6,8,0,5,144.48
9.31,2,10,0,8,147.4
9.75,7,5,1,4,155.84
5.74,3,2,0,7,89.72
9.63,7,0,0,8,137.95
7.46,9,10,0,2,151.44
6.29,10,7,1,0,139.99
7.3,10,9,0,1,146.26
9.9,2,2,0,4,107.17
7.46,6,6,1,6,142.44
6.64,6,9,0,5,133.17
8.17,9,5,0,3,139.4
6.2,9,2,0,8,127.24
5.38,5,5,0,3,99.52
5.64,5,2,1,2,95.73
5.64,9,8,1,4,142.76
5.76,8,0,1,3,102.79
5.69,7,7,0,1,114.97
8.2,8,4,0,2,124.47
5.91,6,3,0,6,106.37
6.73,3,0,0,1,73.12
9.48,7,8,1,0,156.15
7.37,8,8,0,1,133.58
8.34,8,4,1,7,153.76
5.86,1,10,0,7,111.14
5.96,7,8,0,1,117.94
5.2,3,9,1,5,115.33
5.84,2,8,0,6,105.26
6.39,2,6,0,0,86.67
5.89,8,7,0,6,132.21
5.44,9,0,0,7,111.38
5.6,3,3,1,8,105.52
7.3,3,9,0,7,127.69
6.03,6,9,1,2,132.59
6.82,10,3,1,7,144.94
7.52,1,8,0,2,101.93
8.45,6,2,0,5,120.22
5.2,3,9,1,3,113.58
9.0,4,9,1,6,154.92
8.14,9,0,0,7,129.26
5.41,3,10,0,5,113.6
9.37,1,4,1,3,114.52
9.6,3,6,0,7,135.9
5.31,7,3,0,6,107.88
6.38,7,8,1,7,146.67
9.03,5,5,0,6,131.8
8.74,1,5,1,2,115.21
5.92,8,2,0,2,101.59
6.05,10,9,1,8,168.72
6.85,8,9,1,6,157.25
7.42,10,4,1,0,137.18
8.09,10,9,1,2,165.66
6.84,10,5,1,0,129.18
7.31,2,3,0,5,94.37
8.74,10,2,0,1,130.34
5.18,3,4,1,6,100.13
6.26,4,6,1,7,124.7
8.57,1,10,1,5,137.24
9.48,4,5,1,4,136.33
7.56,5,1,1,3,107.87
7.66,3,0,0,8,96.99
5.54,10,4,1,7,137.37
7.24,2,4,0,4,96.09
7.66,6,5,1,0,121.53
6.21,8,2,1,7,130.46
6.35,7,0,0,7,106.26
6.89,1,3,1,6,97.7
5.1,4,3,1,6,96.92
6.61,3,9,0,7,123.1
6.06,6,1,0,0,83.3
6.64,9,7,1,2,144.98
5.6,9,5,0,3,118.9
9.45,7,2,1,5,141.19
7.97,9,0,0,8,130.98
8.4,8,10,1,3,164.47
8.95,5,2,0,5,118.75
7.49,9,7,1,8,169.18
5.43,7,3,0,8,116.87
7.69,5,2,0,5,109.14
7.93,8,10,1,4,165.84
8.73,7,3,1,2,131.22
7.16,9,10,1,4,160.85
5.64,10,3,0,2,116.68
6.42,1,1,1,4,77.71
6.82,9,3,1,0,117.85
8.23,7,10,0,5,159.43
7.85,1,8,0,6,117.86
6.78,1,3,1,1,81.99
9.93,5,0,1,2,121.83
8.03,8,0,0,8,129.78
6.19,9,0,0,7,112.82
5.51,6,4,1,3,108.01
5.76,10,5,0,7,138.87
6.23,8,5,0,7,129.2
5.8,6,5,1,5,121.99
5.93,6,8,1,0,122.31
6.43,4,0,1,1,79.62
5.87,5,9,0,3,116.25
9.48,2,5,1,3,125.39
5.4,3,7,0,1,85.63
7.62,3,7,0,8,126.92
7.05,5,2,0,1,94.5
9.91,5,4,0,5,133.89
5.56,6,9,1,4,129.51
6.99,5,3,0,3,104.18
9.85,6,0,1,5,134.67
9.33,8,8,0,3,155.48
9.09,2,4,0,8,122.49
6.29,4,1,1,6,104.37
5.85,6,1,1,2,97.42
8.34,5,10,1,3,152.04
9.65,1,6,1,0,114.79
7.78,9,3,1,5,140.44
7.86,3,0,1,1,92.11
6.4,2,4,0,3,88.4
8.85,9,1,1,4,141.33
5.94,7,6,0,7,129.26
6.62,5,8,0,2,115.28
7.13,6,0,1,5,111.84
7.54,4,1,0,0,87.81
6.21,1,10,0,8,118.11
5.57,4,5,1,0,93.89
8.05,9,7,1,1,146.68
6.44,1,6,0,0,81.93
7.91,10,8,1,7,174.83
5.77,3,1,1,3,84.47
7.41,5,8,0,1,118.62
7.66,7,3,1,6,135.41
5.26,9,10,1,7,157.84
6.68,6,2,1,8,125.38
5.67,3,6,0,4,98.73
5.32,7,4,0,2,102.58
9.95,4,4,1,0,126.9
6.61,3,1,1,7,105.44
9.05,7,5,1,5,154.1
6.27,7,5,0,4,118.17
8.41,4,3,0,6,120.17
8.8,7,4,1,4,140.79
7.98,2,6,1,3,115.46
7.36,1,7,0,4,102.22
7.06,2,5,1,6,113.87
6.74,4,4,1,5,116.33
9.65,8,2,0,8,146.95
9.15,3,6,1,1,126.23
9.83,10,7,1,6,183.43
5.62,6,2,0,0,82.28
8.65,6,4,1,7,146.64
9.69,9,10,0,3,174.9
5.91,9,1,0,7,115.82
5.33,4,9,0,7,119.5
8.71,9,9,1,3,167.49
7.87,6,3,1,3,122.54
9.21,2,3,1,4,115.5
5.7,10,7,1,6,152.08
8.98,6,2,0,5,125.66
6.01,2,4,0,0,75.44
5.82,8,10,0,5,140.04
5.82,4,4,1,2,99.59
9.07,5,1,0,8,125.81
8.33,8,8,0,2,144.49
7.62,8,3,1,8,144.44
6.79,6,8,1,4,138.66
9.39,4,8,0,7,148.46
6.96,1,1,1,8,98.9
9.08,7,8,1,8,174.46
7.2,8,8,1,6,158.95
6.88,9,1,0,0,101.88
7.31,2,10,0,7,129.07
6.51,1,5,0,6,96.09
8.74,4,8,0,3,130.37
7.51,5,3,0,5,114.03
6.16,10,1,0,1,106.47
9.5,1,6,0,3,110.07
6.92,5,8,0,7,135.03
7.72,6,5,1,3,130.51
9.53,3,10,1,3,146.72
8.12,7,10,0,3,148.46
5.58,6,3,1,8,118.14
9.7,4,0,1,1,112.1
8.14,3,3,0,6,110.04
6.67,5,2,0,2,90.55
5.7,3,6,0,3,95.19
8.97,10,10,1,0,172.68
8.1,9,10,1,2,165.33
7.67,9,9,0,1,142.85
9.47,6,4,0,6,138.07
8.94,6,2,1,5,132.83
5.76,4,1,0,0,71.56
6.56,4,1,0,7,94.11
6.24,2,4,1,8,109.85
8.72,10,7,1,0,157.26
5.17,4,7,0,4,103.41
7.85,8,4,1,6,147.26
8.81,10,1,1,1,138.57
9.38,2,3,0,5,111.02
6.71,9,6,0,7,141.22
9.11,1,5,0,7,118.2
5.55,2,9,0,7,112.98
9.23,2,6,0,5,124.41
5.64,6,4,0,5,105.24
6.99,7,1,0,2,99.17
8.99,3,7,1,1,125.78
5.75,9,1,0,4,106.72
6.15,5,7,1,8,136.44
8.61,5,6,0,3,129.84
8.6,4,2,0,4,109.05
8.21,9,3,0,5,138.87
8.47,8,6,0,5,145.2
7.71,4,3,0,3,102.79
6.26,4,8,0,3,111.35
6.73,2,6,1,7,118.55
5.91,9,0,0,4,104.22
9.54,3,0,0,4,103.59
7.92,4,3,0,8,120.3
7.0,7,8,1,3,144.37
7.31,10,3,1,6,143.95
9.74,8,4,0,4,148.12
5.77,8,0,0,8,106.71
7.93,4,1,0,7,109.07
7.53,7,10,0,7,160.95
8.06,10,3,0,2,132.37
5.09,1,3,1,8,92.08
9.36,6,10,0,7,165.26
9.66,6,9,1,2,160.62
7.83,6,5,1,0,123.33
8.48,2,5,0,4,108.51
9.61,8,7,1,3,163.67
8.54,5,8,0,7,144.05
5.76,5,0,1,5,95.86
7.88,2,0,0,4,84.21
8.03,4,5,0,8,128.54
7.12,9,3,0,5,127.55
8.68,9,10,0,2,160.03
9.67,6,3,1,5,144.39
9.63,9,0,1,3,141.18
7.25,4,8,1,4,132.58
5.57,1,10,0,5,104.18
9.92,2,2,0,8,119.82
9.19,1,4,1,2,110.72
5.62,8,9,0,0,120.63
9.6,9,0,0,1,126.88
9.35,10,7,1,7,186.1
7.59,6,2,0,3,105.01
7.96,2,0,1,6,102.89
7.0,6,9,0,1,126.6
5.27,9,5,0,7,125.5
6.68,3,0,1,8,103.57
9.01,9,2,1,6,154.91
5.02,2,4,1,0,74.29
6.67,5,3,1,1,102.87
6.99,2,6,1,8,124.3
7.69,7,5,0,6,135.64
9.6,10,2,1,2,148.82
6.73,9,10,0,4,153.17
6.73,7,7,0,0,112.82
8.69,5,7,1,2,141.15
7.26,4,1,1,3,102.19
6.12,4,6,0,3,100.74
7.26,10,0,1,6,137.83
5.7,8,1,1,4,109.54
5.88,10,7,0,8,149.29
7.49,10,0,0,6,128.41
7.09,10,1,1,1,124.23
9.57,10,0,0,7,145.91
6.81,10,4,0,1,122.5
7.9,1,6,0,6,110.48
8.16,5,5,0,4,120.84
5.07,2,5,0,5,86.07
8.32,9,5,0,3,139.31
5.89,7,7,0,4,124.12
9.81,10,4,0,4,159.57
5.74,8,9,0,6,139.35
7.07,6,6,0,3,121.43
5.43,9,2,1,4,117.99
9.98,6,8,1,3,159.0
7.51,7,9,1,3,149.24
7.98,7,2,0,7,127.99
5.34,9,5,0,4,116.11
8.75,8,2,0,8,143.25
6.05,1,0,0,4,65.57
9.49,4,0,0,7,118.92
6.03,7,2,1,2,108.42
5.95,8,3,0,6,117.87
5.18,7,1,1,0,89.75
7.36,3,8,1,4,130.93
7.82,4,10,1,1,139.93
5.33,7,7,0,7,125.95
8.88,8,2,1,5,146.11
7.27,7,6,0,4,127.72
7.62,6,3,0,2,107.8
7.2,9,4,1,0,127.86
7.0,9,3,1,7,145.4
7.8,7,8,1,4,149.24
5.78,8,10,0,8,153.31
5.91,6,6,0,6,121.15
9.31,1,3,1,0,102.79
9.73,1,7,0,0,110.26
6.87,6,1,0,6,108.59
